mh,clasificador,metric,value
PSO,LightGBM,recall,0.941747572815534
PSO,LightGBM,f1-score,0.955665024630542
PSO,LightGBM,presicion,0.9504950495049505
PSO,LightGBM,recall,0.9320388349514565
PSO,LightGBM,f1-score,0.9411764705882352
PSO,RandomForest,presicion,0.9375
PSO,RandomForest,recall,0.5825242718446602
PSO,RandomForest,f1-score,0.718562874251497
PSO,RandomForest,presicion,0.9156626506024096
PSO,RandomForest,recall,0.7378640776699029
PSO,RandomForest,f1-score,0.8172043010752689
PSO,RandomForest,presicion,0.9782608695652174
PSO,RandomForest,recall,0.8737864077669902
PSO,RandomForest,f1-score,0.9230769230769232
PSO,RandomForest,presicion,0.9888888888888888
PSO,RandomForest,recall,0.8640776699029126
PSO,RandomForest,f1-score,0.922279792746114
PSO,RandomForest,presicion,0.967741935483871
PSO,RandomForest,recall,0.8737864077669902
PSO,RandomForest,f1-score,0.9183673469387756
PSO,RandomForest,presicion,0.9431818181818182
PSO,RandomForest,recall,0.8058252427184466
PSO,RandomForest,f1-score,0.8691099476439791
PSO,RandomForest,presicion,0.96875
PSO,RandomForest,recall,0.9029126213592232
PSO,RandomForest,f1-score,0.9346733668341708
PSO,RandomForest,presicion,0.9574468085106383
PSO,RandomForest,recall,0.8737864077669902
PSO,RandomForest,f1-score,0.9137055837563453
PSO,RandomForest,presicion,0.9887640449438202
PSO,RandomForest,recall,0.8543689320388349
PSO,RandomForest,f1-score,0.9166666666666666
PSO,RandomForest,presicion,0.9494949494949496
PSO,RandomForest,recall,0.912621359223301
PSO,RandomForest,f1-score,0.9306930693069309
PSO,RandomForest,presicion,0.9473684210526316
PSO,RandomForest,recall,0.8737864077669902
PSO,RandomForest,f1-score,0.9090909090909092
PSO,RandomForest,presicion,0.9529411764705882
PSO,RandomForest,recall,0.7864077669902912
PSO,RandomForest,f1-score,0.8617021276595744
PSO,RandomForest,presicion,0.9680851063829788
PSO,RandomForest,recall,0.883495145631068
PSO,RandomForest,f1-score,0.9238578680203046
PSO,RandomForest,presicion,0.9775280898876404
PSO,RandomForest,recall,0.8446601941747572
PSO,RandomForest,f1-score,0.90625
PSO,RandomForest,presicion,0.96
PSO,RandomForest,recall,0.9320388349514565
PSO,RandomForest,f1-score,0.9458128078817734
PSO,RandomForest,presicion,0.8823529411764706
PSO,RandomForest,recall,0.5825242718446602
PSO,RandomForest,f1-score,0.7017543859649122
PSO,RandomForest,presicion,0.9534883720930232
PSO,RandomForest,recall,0.7961165048543689
PSO,RandomForest,f1-score,0.8677248677248677
PSO,RandomForest,presicion,0.946236559139785
PSO,RandomForest,recall,0.8543689320388349
PSO,RandomForest,f1-score,0.8979591836734694
PSO,RandomForest,presicion,0.9310344827586208
PSO,RandomForest,recall,0.7864077669902912
PSO,RandomForest,f1-score,0.8526315789473684
PSO,RandomForest,presicion,0.9791666666666666
PSO,RandomForest,recall,0.912621359223301
PSO,RandomForest,f1-score,0.9447236180904522
PSO,RandomForest,presicion,0.989247311827957
PSO,RandomForest,recall,0.8932038834951457
PSO,RandomForest,f1-score,0.9387755102040816
PSO,RandomForest,presicion,0.9791666666666666
PSO,RandomForest,recall,0.912621359223301
PSO,RandomForest,f1-score,0.9447236180904522
PSO,RandomForest,presicion,0.9770114942528736
PSO,RandomForest,recall,0.8252427184466019
PSO,RandomForest,f1-score,0.8947368421052632
PSO,RandomForest,presicion,0.9381443298969072
PSO,RandomForest,recall,0.883495145631068
PSO,RandomForest,f1-score,0.91
PSO,RandomForest,presicion,0.9438202247191012
PSO,RandomForest,recall,0.8155339805825242
PSO,RandomForest,f1-score,0.875
PSO,RandomForest,presicion,0.9891304347826086
PSO,RandomForest,recall,0.883495145631068
PSO,RandomForest,f1-score,0.9333333333333332
PSO,RandomForest,presicion,0.9659090909090908
PSO,RandomForest,recall,0.8252427184466019
PSO,RandomForest,f1-score,0.8900523560209425
PSO,RandomForest,presicion,0.9574468085106383
PSO,RandomForest,recall,0.8737864077669902
PSO,RandomForest,f1-score,0.9137055837563453
PSO,RandomForest,presicion,0.8783783783783784
PSO,RandomForest,recall,0.6310679611650486
PSO,RandomForest,f1-score,0.7344632768361582
PSO,RandomForest,presicion,0.967741935483871
PSO,RandomForest,recall,0.8737864077669902
PSO,RandomForest,f1-score,0.9183673469387756
PSO,RandomForest,presicion,0.9302325581395348
PSO,RandomForest,recall,0.7766990291262136
PSO,RandomForest,f1-score,0.8465608465608465
WOA,KNN,presicion,0.5757575757575758
WOA,KNN,recall,0.3689320388349514
WOA,KNN,f1-score,0.4497041420118343
WOA,KNN,presicion,0.5555555555555556
WOA,KNN,recall,0.4368932038834951
WOA,KNN,f1-score,0.4891304347826087
WOA,KNN,presicion,0.5084745762711864
WOA,KNN,recall,0.2912621359223301
