tipo,mh,clasificador,metric,best,avg,std
weighted,PSO,RandomForest,recall,0.993854748603352,0.9880519012434672,0.005945067587740506
weighted,PSO,RandomForest,f1-score,0.9938120699470994,0.987514399346599,0.006631868516898022
weighted,WOA,KNN,presicion,0.9747092337054678,0.9457452124580242,0.014632365550702941
weighted,WOA,KNN,recall,0.975977653631285,0.9488556496666064,0.014707944852547363
weighted,WOA,KNN,f1-score,0.9749574988157566,0.9461967612198936,0.013290608137193852
weighted,WOA,LightGBM,presicion,0.9972149583316824,0.9959509740946001,0.0012551730417118838
weighted,WOA,LightGBM,recall,0.9972067039106144,0.9959632366192105,0.0012384075606587668
weighted,WOA,LightGBM,f1-score,0.9971873045214088,0.9959210103392963,0.001249709793516101
weighted,WOA,RandomForest,presicion,0.990989968342022,0.976981091995343,0.005553887489981297
weighted,WOA,RandomForest,recall,0.9910614525139664,0.977689673815102,0.004925367034937148
weighted,WOA,RandomForest,f1-score,0.9910202837787396,0.9761976668113068,0.005868838191465981
