mh,clasificador,metric,value
GWO,RandomForest,f1-score,0.9818897922312556
GWO,RandomForest,presicion,0.9633166062633584
GWO,RandomForest,recall,0.9590903597470088
GWO,RandomForest,f1-score,0.9611924119241192
GWO,RandomForest,presicion,0.9731752926624812
GWO,RandomForest,recall,0.9645374969066708
GWO,RandomForest,f1-score,0.9688109841092836
GWO,RandomForest,presicion,0.9673372781065088
GWO,RandomForest,recall,0.9545323749287816
GWO,RandomForest,f1-score,0.9608332810624172
GWO,RandomForest,presicion,0.981878078930222
GWO,RandomForest,recall,0.955421527270216
GWO,RandomForest,f1-score,0.968224852071006
GWO,RandomForest,presicion,0.9731752926624812
GWO,RandomForest,recall,0.9645374969066708
GWO,RandomForest,f1-score,0.9688109841092836
GWO,RandomForest,presicion,0.9759199134199136
GWO,RandomForest,recall,0.9454164052923268
GWO,RandomForest,f1-score,0.9600932791731506
GWO,RandomForest,presicion,0.9500070651405964
GWO,RandomForest,recall,0.9582012074055744
GWO,RandomForest,f1-score,0.9540617300848616
GWO,RandomForest,presicion,0.9784218208676996
GWO,RandomForest,recall,0.969688249952521
GWO,RandomForest,f1-score,0.9740091534244028
GWO,RandomForest,presicion,0.980358909142292
GWO,RandomForest,recall,0.9891057256806765
GWO,RandomForest,f1-score,0.9846872433616204
GWO,RandomForest,presicion,0.9779289940828402
GWO,RandomForest,recall,0.9648338810204822
GWO,RandomForest,f1-score,0.9712777394457728
GWO,RandomForest,presicion,0.9900880554795144
GWO,RandomForest,recall,0.9945528628403382
GWO,RandomForest,f1-score,0.9923089152133096
GWO,RandomForest,presicion,0.9917327378562826
GWO,RandomForest,recall,0.9511599265658002
GWO,RandomForest,f1-score,0.9704554423355956
GWO,RandomForest,presicion,0.9645667944155488
GWO,RandomForest,recall,0.9687990976110864
GWO,RandomForest,f1-score,0.966671965924341
GWO,RandomForest,presicion,0.9713684397576646
GWO,RandomForest,recall,0.9885129574530532
GWO,RandomForest,f1-score,0.9797654373322028
GWO,RandomForest,presicion,0.992081974848626
GWO,RandomForest,recall,0.956014295497839
GWO,RandomForest,f1-score,0.9732690596085036
GWO,RandomForest,presicion,0.9865238317031516
GWO,RandomForest,recall,0.9508635424519888
GWO,RandomForest,f1-score,0.9679228715302044
GWO,RandomForest,presicion,0.9769322622666088
GWO,RandomForest,recall,0.9551251431564044
GWO,RandomForest,f1-score,0.9657380454931616
GWO,RandomForest,presicion,0.9910316484867108
GWO,RandomForest,recall,0.9414511887017224
GWO,RandomForest,f1-score,0.9647464303298868
PSO,KNN,presicion,0.7797385620915033
PSO,KNN,recall,0.7463153411870327
PSO,KNN,f1-score,0.7617681748716136
PSO,KNN,presicion,0.7866704231049853
PSO,KNN,recall,0.7283797860279349
PSO,KNN,f1-score,0.7536423925846265
PSO,KNN,presicion,0.8341723777534885
PSO,KNN,recall,0.7410523650301276
PSO,KNN,f1-score,0.7789031620553359
PSO,KNN,presicion,0.7909263412109713
PSO,KNN,recall,0.7426465087102398
PSO,KNN,f1-score,0.764213669209153
PSO,KNN,presicion,0.7751460312261165
PSO,KNN,recall,0.7320486185047277
PSO,KNN,f1-score,0.7514272919758027
PSO,KNN,presicion,0.8570312063864233
PSO,KNN,recall,0.7944504232825548
PSO,KNN,f1-score,0.8222669825103902
PSO,KNN,presicion,0.8070674928822643
PSO,KNN,recall,0.753244398915752
PSO,KNN,f1-score,0.7771284383860448
PSO,KNN,presicion,0.7708333333333333
PSO,KNN,recall,0.7132239110041954
PSO,KNN,f1-score,0.7379719488909372
PSO,KNN,presicion,0.8109485393242566
PSO,KNN,recall,0.7535407830295635
PSO,KNN,f1-score,0.7788317144106298
PSO,KNN,presicion,0.7302325581395348
PSO,KNN,recall,0.6595294686379567
PSO,KNN,f1-score,0.6871962009531549
PSO,KNN,presicion,0.8320493496343437
PSO,KNN,recall,0.7738474110991534
PSO,KNN,f1-score,0.7996977104482176
PSO,KNN,presicion,0.8325951552708448
PSO,KNN,recall,0.8020844723499518
PSO,KNN,f1-score,0.8164833309210209
PSO,KNN,presicion,0.8293280726924916
PSO,KNN,recall,0.7219312734157838
PSO,KNN,f1-score,0.7635601666726708
PSO,KNN,presicion,0.791437908496732
PSO,KNN,recall,0.7566168472787334
PSO,KNN,f1-score,0.7727213622338382
PSO,KNN,presicion,0.8185562717265353
PSO,KNN,recall,0.7025137976876284
PSO,KNN,f1-score,0.7456186367376585
PSO,KNN,presicion,0.7536733688352535
PSO,KNN,recall,0.7162999752533652
PSO,KNN,f1-score,0.7332091290172333
PSO,KNN,presicion,0.7478779735460055
PSO,KNN,recall,0.6974752677528329
PSO,KNN,f1-score,0.7192669124801557
PSO,KNN,presicion,0.8220304959483486
PSO,KNN,recall,0.7261928741201996
PSO,KNN,f1-score,0.764411687286128
PSO,KNN,presicion,0.7959584506044101
PSO,KNN,recall,0.7523552465743175
PSO,KNN,f1-score,0.7721161310355535
PSO,KNN,presicion,0.7574113211858113
PSO,KNN,recall,0.707480389730722
PSO,KNN,f1-score,0.7292520797675437
PSO,KNN,presicion,0.7860038076521525
PSO,KNN,recall,0.7144094474594413
PSO,KNN,f1-score,0.7441928844457513
PSO,KNN,presicion,0.8000311350359282
PSO,KNN,recall,0.7107406149826486
PSO,KNN,f1-score,0.7462895093850609
PSO,KNN,presicion,0.792698014731788
PSO,KNN,recall,0.7055898619367982
PSO,KNN,f1-score,0.7402487834180385
PSO,KNN,presicion,0.7604124759142017
PSO,KNN,recall,0.7123347586627609
PSO,KNN,f1-score,0.7334638609563999
PSO,KNN,presicion,0.777375730994152
PSO,KNN,recall,0.7183746640500457
PSO,KNN,f1-score,0.7437308071570705
PSO,KNN,presicion,0.8031372549019608
PSO,KNN,recall,0.766918353370434
PSO,KNN,f1-score,0.783674549596063
PSO,KNN,presicion,0.7957531273205003
PSO,KNN,recall,0.738384908005824
PSO,KNN,f1-score,0.7634518170600645
PSO,KNN,presicion,0.8109485393242566
PSO,KNN,recall,0.7535407830295635
PSO,KNN,f1-score,0.7788317144106298
PSO,KNN,presicion,0.9120206661443666
PSO,KNN,recall,0.835952831763169
PSO,KNN,f1-score,0.8695674213190894
PSO,KNN,presicion,0.7873607926629544
PSO,KNN,recall,0.7423501245964284
PSO,KNN,f1-score,0.7625990990780138
PSO,KNN,presicion,0.8008220286942445
PSO,KNN,recall,0.7480936458699017
PSO,KNN,f1-score,0.7714861203705017
PSO,LightGBM,presicion,0.9885207100591716
PSO,LightGBM,recall,0.9751353871121828
PSO,LightGBM,f1-score,0.9817221978291282
PSO,LightGBM,presicion,0.983224852071006
PSO,LightGBM,recall,0.9699846340663324
PSO,LightGBM,f1-score,0.9764999686374504
PSO,LightGBM,presicion,0.982329811357167
PSO,LightGBM,recall,0.9602758962022548
PSO,LightGBM,f1-score,0.9710091154172906
PSO,LightGBM,presicion,0.992081974848626
PSO,LightGBM,recall,0.956014295497839
PSO,LightGBM,f1-score,0.9732690596085036
PSO,LightGBM,presicion,0.9873280518325914
PSO,LightGBM,recall,0.9605722803160665
PSO,LightGBM,f1-score,0.9735207100591716
PSO,LightGBM,presicion,0.9979338842975208
PSO,LightGBM,recall,0.9660194174757282
PSO,LightGBM,f1-score,0.9813768636141368
PSO,LightGBM,presicion,0.9873280518325914
PSO,LightGBM,recall,0.9605722803160665
PSO,LightGBM,f1-score,0.9735207100591716
PSO,LightGBM,presicion,0.9931249095382836
PSO,LightGBM,recall,0.9705774022939556
PSO,LightGBM,f1-score,0.9815512552655484
PSO,LightGBM,presicion,0.9827787036539256
PSO,LightGBM,recall,0.9651302651342936
PSO,LightGBM,f1-score,0.973767358973908
PSO,LightGBM,presicion,0.9982279976373302
PSO,LightGBM,recall,0.970873786407767
PSO,LightGBM,f1-score,0.984112426035503
PSO,LightGBM,presicion,0.9976401179941004
PSO,LightGBM,recall,0.9611650485436892
PSO,LightGBM,f1-score,0.978615247686803
PSO,LightGBM,presicion,0.983224852071006
PSO,LightGBM,recall,0.9699846340663324
PSO,LightGBM,f1-score,0.9764999686374504
PSO,LightGBM,presicion,0.9979338842975208
PSO,LightGBM,recall,0.9660194174757282
PSO,LightGBM,f1-score,0.9813768636141368
PSO,LightGBM,presicion,0.9885207100591716
PSO,LightGBM,recall,0.9751353871121828
PSO,LightGBM,f1-score,0.9817221978291282
PSO,LightGBM,presicion,0.9873280518325914
PSO,LightGBM,recall,0.9605722803160665
PSO,LightGBM,f1-score,0.9735207100591716
PSO,LightGBM,presicion,0.9979338842975208
PSO,LightGBM,recall,0.9660194174757282
PSO,LightGBM,f1-score,0.9813768636141368
PSO,LightGBM,presicion,0.9885207100591716
PSO,LightGBM,recall,0.9751353871121828
PSO,LightGBM,f1-score,0.9817221978291282
PSO,LightGBM,presicion,0.983224852071006
PSO,LightGBM,recall,0.9699846340663324
PSO,LightGBM,f1-score,0.9764999686374504
PSO,LightGBM,presicion,0.9985224586288416
PSO,LightGBM,recall,0.9757281553398058
PSO,LightGBM,f1-score,0.9868223251896776
PSO,LightGBM,presicion,0.9809656885576774
PSO,LightGBM,recall,0.9457127894061385
PSO,LightGBM,f1-score,0.9625766834519052
PSO,LightGBM,presicion,0.9779289940828402
PSO,LightGBM,recall,0.9648338810204822
PSO,LightGBM,f1-score,0.9712777394457728
PSO,LightGBM,presicion,0.9877273604477252
PSO,LightGBM,recall,0.9654266492481052
PSO,LightGBM,f1-score,0.9762801853414196
PSO,LightGBM,presicion,0.9985224586288416
PSO,LightGBM,recall,0.9757281553398058
PSO,LightGBM,f1-score,0.9868223251896776
PSO,LightGBM,presicion,0.9924303915781189
PSO,LightGBM,recall,0.9608686644298778
PSO,LightGBM,f1-score,0.9760559675038905
PSO,LightGBM,presicion,0.9877273604477252
PSO,LightGBM,recall,0.9654266492481052
PSO,LightGBM,f1-score,0.9762801853414196
PSO,LightGBM,presicion,0.9881248917322248
PSO,LightGBM,recall,0.970281018180144
PSO,LightGBM,f1-score,0.9790138871791264
PSO,LightGBM,presicion,0.993471079810524
PSO,LightGBM,recall,0.9754317712259944
PSO,LightGBM,f1-score,0.9842604153843448
PSO,LightGBM,presicion,0.9827787036539256
PSO,LightGBM,recall,0.9651302651342936
PSO,LightGBM,f1-score,0.973767358973908
PSO,LightGBM,presicion,0.9931249095382836
PSO,LightGBM,recall,0.9705774022939556
PSO,LightGBM,f1-score,0.9815512552655484
PSO,LightGBM,presicion,0.983224852071006
PSO,LightGBM,recall,0.9699846340663324
PSO,LightGBM,f1-score,0.9764999686374504
PSO,LightGBM,presicion,0.9731752926624812
PSO,LightGBM,recall,0.9645374969066708
PSO,LightGBM,f1-score,0.9688109841092836
PSO,RandomForest,presicion,0.9562934530706836
PSO,RandomForest,recall,0.7900765994670841
PSO,RandomForest,f1-score,0.8523959990946908
PSO,RandomForest,presicion,0.9499227137019076
PSO,RandomForest,recall,0.866857350038271
PSO,RandomForest,f1-score,0.9035933114097616
PSO,RandomForest,presicion,0.9853024018026322
PSO,RandomForest,recall,0.9363004356558722
PSO,RandomForest,f1-score,0.9593228042267924
PSO,RandomForest,presicion,0.9903267973856208
PSO,RandomForest,recall,0.9317424508376448
PSO,RandomForest,f1-score,0.9589255473916576
PSO,RandomForest,presicion,0.9800406789970916
PSO,RandomForest,recall,0.9360040515420608
PSO,RandomForest,f1-score,0.9568196072755344
PSO,RandomForest,presicion,0.9657154684328596
PSO,RandomForest,recall,0.901430700790166
PSO,RandomForest,f1-score,0.9308665701630932
PSO,RandomForest,presicion,0.9814234061393152
PSO,RandomForest,recall,0.9505671583381772
PSO,RandomForest,f1-score,0.9654141752833972
PSO,RandomForest,presicion,0.974890857085508
PSO,RandomForest,recall,0.9357076674282492
PSO,RandomForest,f1-score,0.9543402290641022
PSO,RandomForest,presicion,0.9899728513960724
PSO,RandomForest,recall,0.926888081905606
PSO,RandomForest,f1-score,0.9559720582447856
PSO,RandomForest,presicion,0.9720863274973268
PSO,RandomForest,recall,0.954828759042593
PSO,RandomForest,f1-score,0.9632743025634714
PSO,RandomForest,presicion,0.9698494022667288
PSO,RandomForest,recall,0.9354112833144376
PSO,RandomForest,f1-score,0.9518843072953068
PSO,RandomForest,presicion,0.9700189753320684
PSO,RandomForest,recall,0.8920183470398997
PSO,RandomForest,f1-score,0.927018516659976
PSO,RandomForest,presicion,0.9805048173424328
PSO,RandomForest,recall,0.9408584204740996
PSO,RandomForest,f1-score,0.9597119668212668
PSO,RandomForest,presicion,0.9840609291295932
PSO,RandomForest,recall,0.9217373288597556
PSO,RandomForest,f1-score,0.9504685655253836
PSO,RandomForest,presicion,0.9779289940828402
PSO,RandomForest,recall,0.9648338810204822
PSO,RandomForest,f1-score,0.9712777394457728
PSO,RandomForest,presicion,0.928690988590558
PSO,RandomForest,recall,0.7888910630118381
PSO,RandomForest,f1-score,0.8433969935104701
